file_path,line_number,category,matched_text,token_name,fallback_value
src/app/App.css,1,e,var(--cvp-color-text-primary),--cvp-color-text-primary,
src/app/App.css,1,e,var(--cvp-color-surface-page),--cvp-color-surface-page,
src/app/App.css,1,e,var(--cvp-font-family-sans),--cvp-font-family-sans,
src/app/App.css,2,e,var(--cvp-space-8),--cvp-space-8,
src/app/App.css,3,e,var(--cvp-space-6),--cvp-space-6,
src/app/App.css,3,e,var(--cvp-space-4),--cvp-space-4,
src/app/App.css,3,e,var(--cvp-space-3),--cvp-space-3,
src/app/App.tsx,60,a,--overview-section-padding,,
src/app/App.tsx,61,a,--overview-section-font-family,,
src/app/App.tsx,64,e,var(--overview-section-padding),--overview-section-padding,
src/app/App.tsx,65,e,var(--overview-section-font-family),--overview-section-font-family,
src/app/App.tsx,71,a,--overview-title-margin-bottom,,
src/app/App.tsx,72,e,var(--foreground),--foreground,
src/app/App.tsx,72,a,--overview-title-color,,
src/app/App.tsx,73,a,--overview-title-font-size,,
src/app/App.tsx,73,b,font-size: 32px,,
src/app/App.tsx,74,a,--overview-title-font-weight,,
src/app/App.tsx,74,b,font-weight: 700,,
src/app/App.tsx,75,a,--overview-title-line-height,,
src/app/App.tsx,75,b,line-height: 40px,,
src/app/App.tsx,78,e,var(--overview-title-margin-bottom),--overview-title-margin-bottom,
src/app/App.tsx,79,e,var(--overview-title-color),--overview-title-color,
src/app/App.tsx,80,e,var(--overview-title-font-size),--overview-title-font-size,
src/app/App.tsx,81,e,var(--overview-title-font-weight),--overview-title-font-weight,
src/app/App.tsx,82,e,var(--overview-title-line-height),--overview-title-line-height,
src/app/App.tsx,87,e,var(--type-scale-l-size),--type-scale-l-size,
src/app/App.tsx,87,a,--overview-description-font-size,,
src/app/App.tsx,88,e,var(--type-scale-l-line-height),--type-scale-l-line-height,
src/app/App.tsx,88,a,--overview-description-line-height,,
src/app/App.tsx,89,e,var(--muted-foreground),--muted-foreground,
src/app/App.tsx,89,a,--overview-description-color,,
src/app/App.tsx,90,a,--overview-description-margin-bottom,,
src/app/App.tsx,93,e,var(--overview-description-font-size),--overview-description-font-size,
src/app/App.tsx,94,e,var(--overview-description-line-height),--overview-description-line-height,
src/app/App.tsx,95,e,var(--overview-description-color),--overview-description-color,
src/app/App.tsx,96,e,var(--overview-description-margin-bottom),--overview-description-margin-bottom,
src/app/App.tsx,101,a,--section-title-margin-bottom,,
src/app/App.tsx,102,e,var(--foreground),--foreground,
src/app/App.tsx,102,a,--section-title-color,,
src/app/App.tsx,103,a,--section-title-font-size,,
src/app/App.tsx,103,b,font-size: 24px,,
src/app/App.tsx,104,a,--section-title-font-weight,,
src/app/App.tsx,104,b,font-weight: 600,,
src/app/App.tsx,105,a,--section-title-line-height,,
src/app/App.tsx,105,b,line-height: 32px,,
src/app/App.tsx,108,e,var(--section-title-margin-bottom),--section-title-margin-bottom,
src/app/App.tsx,109,e,var(--section-title-color),--section-title-color,
src/app/App.tsx,110,e,var(--section-title-font-size),--section-title-font-size,
src/app/App.tsx,111,e,var(--section-title-font-weight),--section-title-font-weight,
src/app/App.tsx,112,e,var(--section-title-line-height),--section-title-line-height,
src/app/App.tsx,119,e,var(--card),--card,
src/app/App.tsx,120,e,var(--border-default),--border-default,
src/app/App.tsx,129,b,font-size: 24px,,
src/app/App.tsx,130,b,font-weight: 600,,
src/app/App.tsx,131,e,var(--foreground),--foreground,
src/app/App.tsx,133,b,line-height: 1.3,,
src/app/App.tsx,137,e,var(--type-scale-m-size),--type-scale-m-size,
src/app/App.tsx,138,e,var(--type-scale-m-line-height),--type-scale-m-line-height,
src/app/App.tsx,139,e,var(--muted-foreground),--muted-foreground,
src/app/App.tsx,150,e,var(--muted),--muted,
src/app/App.tsx,152,e,var(--primary),--primary,
src/app/App.tsx,153,b,0.2s,,
src/app/App.tsx,157,e,var(--accent),--accent,
src/app/App.tsx,158,e,var(--chart-1),--chart-1,
src/app/App.tsx,172,e,var(--primary),--primary,
src/app/App.tsx,173,b,#ffffff,,
src/app/App.tsx,178,b,font-size: 13px,,
src/app/App.tsx,179,b,font-weight: 600,,
src/app/App.tsx,184,b,#000000,,
src/app/App.tsx,188,b,font-size: 16px,,
src/app/App.tsx,189,b,font-weight: 600,,
src/app/App.tsx,190,e,var(--foreground),--foreground,
src/app/App.tsx,192,b,line-height: 1.4,,
src/app/App.tsx,197,e,var(--type-scale-m-size),--type-scale-m-size,
src/app/App.tsx,198,b,line-height: 1.6,,
src/app/App.tsx,199,e,var(--foreground),--foreground,
src/app/App.tsx,206,e,var(--card),--card,
src/app/App.tsx,209,e,var(--border-default),--border-default,
src/app/App.tsx,213,b,font-size: 12px,,
src/app/App.tsx,214,b,font-weight: 600,,
src/app/App.tsx,216,b,letter-spacing: 0.5px,,
src/app/App.tsx,217,e,var(--muted-foreground),--muted-foreground,
src/app/App.tsx,222,e,var(--type-scale-s-size),--type-scale-s-size,
src/app/App.tsx,223,b,line-height: 1.5,,
src/app/App.tsx,224,e,var(--foreground),--foreground,
src/app/App.tsx,231,e,var(--card),--card,
src/app/App.tsx,233,e,var(--border-default),--border-default,
src/app/App.tsx,237,e,var(--type-scale-s-size),--type-scale-s-size,
src/app/App.tsx,238,b,font-weight: 600,,
src/app/App.tsx,239,e,var(--foreground),--foreground,
src/app/App.tsx,244,e,var(--type-scale-s-size),--type-scale-s-size,
src/app/App.tsx,245,b,line-height: 1.5,,
src/app/App.tsx,246,e,var(--muted-foreground),--muted-foreground,
src/app/App.tsx,253,e,var(--primary),--primary,
src/app/App.tsx,254,b,#ffffff,,
src/app/App.tsx,256,b,font-size: 11px,,
src/app/App.tsx,257,b,font-weight: 500,,
src/app/App.tsx,263,b,#000000,,
src/app/App.tsx,278,a,--dark,,
src/app/App.tsx,282,a,--light,,
src/app/App.tsx,287,a,--dark,,
src/app/App.tsx,291,a,--light,,
src/app/App.tsx,302,a,--dark,,
src/app/App.tsx,308,a,--light,,
